country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,98.6,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,32.8,,,,,20.8,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,83.3,,,,,,,,,,57.7,,,,,,39.5,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,66.8,,,,,78.5,,,,,82.8,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3,,,,,,,,,,,,,,,,73.9,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3,,,,,,,65.8,,,,,66.1,,,,,88.3,,,90.1,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,15.5,,,,,,,15.7,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.8,,,,,69.3,,,,65.3,,,,,,,59.8,,,61,
Austria,,,,,,,,,,,,,,,,2.69,,,,,5.59,,,,,2.63,,,,,,,2.74,,,,,2.73,,,,,,,,2.21,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2,,,,,75.4,,,76.4,,,,,,,84.4,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,77.1,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,0.208,,,,,0.567,,,,,0.594,,0.669,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,58.2,,,,,,,,,,,,,,,,45.4,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,79.3,,,,,,,80.6,,,,,,,,,58.8,,,,51.4,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,,,,,,,,,,,11.3,,,,,14.1,,,,,16.6,,,14.7,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,56.5,,,,,,,,,,,,,44.5,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,24.1,,,,,24,,,,,30.4,,,32.3,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,67.7,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.9,,,,,,,,,,54.6,,,,60,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7,,,,,,,,,67.7,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,,,44.5,,,,,41.2,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,2.06,,,,,,,,,,,,,0.604,,,,,0.552,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85,,,,,9.72,,,,,,,,,,,5.62,,,12.2,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,7.99,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,
China,,,,,,,,,,,,,,,,88.2,,,,,86.3,,,,,83,,,77.6,,,,,,,68.8,,,,,,,63,,,,,64.3,,,64.4,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,64.9,,,,,,42.6,,,,,38.4,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,35.4,,,,,35,,,,,,,,76.3,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,10.5,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5,,,,,,,,54.3,,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.6,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,,,,,,,,,,,,50.1,,,,,,64.9,,,
Cyprus,,,,,,,,,,,83.9,,,,,79.1,,,,,77.5,,,,,73.5,,,73.9,,,,,,,,,76.4,,,,,66,,,,,66.8,65.7,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.802,,,,,0.98,,,,,1.51,,,,,2.35,2.67,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46,,,,3.54,,,,,,2.91,,,,,,0.408,,,0.638,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,87.5,,,,,,,,,,,,,,,15.8,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
Denmark,,,,,,25,,,,,38.2,,,,,38.2,,,,,41.1,,,,,36.9,,,,,,,39.6,,,,,24.7,,,,,20.6,,,,,25.1,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.3,,,,,82,,,,,79.9,,,,,,
