country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,76.4,76.4,76.8,76.3,76.7,77,77.4,77.8,78.2,78.8,79.6,78.7,78.4,79,78.1,77.6,76.4,76.2,74.2,72.9,72.4,70.9,70,69.2,68.6,67.6,66.2,65.8,65
Angola,45.7,46.6,47.1,47.5,46.8,46.2,45.5,44.4,45.2,44.9,44.1,44,44,44.2,46.1,47.8,49.4,51.1,52.8,55.5,58,58.4,58.5,58.2,57.8,57.5,57.2,57.1,56.8
Albania,66.2,65.1,64.6,64,63.3,64.8,65.5,65,64.7,64,63.2,62.2,61.1,60.4,59.7,58.5,57.7,56.9,57.2,53.1,54.4,57,53.2,49.9,47.7,45.2,42.4,42.3,41.6
United Arab Emirates,0.0659,0.0643,0.0638,0.0618,0.0601,0.0603,0.0602,0.0599,0.0592,0.0589,0.0532,0.048,0.0435,0.0393,0.0352,0.0317,0.0285,0.0255,0.0228,0.0205,0.0186,0.0169,0.0154,0.014,0.0127,0.0115,0.0101,0.00904,0.0084
Argentina,0.138,0.324,0.299,0.242,0.365,0.223,0.257,0.231,0.236,0.237,0.299,0.474,0.979,0.973,0.725,0.492,0.418,0.351,0.397,0.383,0.286,0.285,0.227,0.156,0.0725,0.0333,0.0154,0.0583,0.0312
Armenia,48.5,48.3,48.3,48.6,48.7,48.8,48.7,48.6,48.2,47.9,47.5,47,46.3,45.7,45.2,44.5,43.9,44.9,45.7,47.3,45.6,44,44.7,40.6,40.1,36.9,34.9,28.6,26.9
Australia,3.85,3.61,3.62,3.52,3.48,3.39,3.47,3.45,3.5,3.43,3.45,3.03,2.62,2.68,2.45,2.36,2.27,2.22,2.22,2.28,1.89,1.92,1.67,1.83,1.85,1.68,1.65,1.68,1.71
Austria,8.9,8.66,8.35,7.99,8.19,8.59,7.73,7.23,6.96,6.38,6.28,6.08,5.78,4.86,5.28,5.29,5.62,5.23,5.2,4.99,4.65,4.24,4.18,4.57,4.21,3.93,3.68,3.28,3.18
Azerbaijan,45.1,45.9,45.7,45.8,47.4,47.3,47.7,47.4,47.7,46.2,42.8,39.3,38.7,38,37.4,43.3,42,40.7,44.2,44.5,43.9,43.9,43.5,42.7,42.1,42.1,42.2,42,41.8
Burundi,96.8,96.8,96.8,96.8,96.8,96.8,96.8,96.7,96.7,96.6,96.5,96.3,96.3,95.8,95.9,95.7,95.6,95.3,95.1,94.9,94.7,94.5,94.1,93.8,93.9,93.9,93.9,93.8,93.7
Belgium,2.54,2.49,1.97,2.17,2.08,2.16,2.08,1.57,1.99,1.19,0.946,1.09,1.06,1.57,1.48,1.28,1.3,1.03,0.987,0.89,0.886,0.694,0.841,0.838,0.729,0.754,0.705,0.636,0.629
Benin,44.4,44.3,44.1,44.1,43.9,43.6,43.3,42.9,42.5,42,41.5,40.9,40.5,39.9,39.5,38.9,38.3,37.7,37.3,36.9,36.1,35.4,34.6,33.8,33.2,32.3,31.5,30.6,29.8
Burkina Faso,87.9,87.7,87.4,86.9,85.6,84,82.3,80.4,78.3,76.3,73.6,70.8,67.6,64.4,60.2,56.3,52.6,47.8,43.8,39,34.6,30.2,26,21.9,22.3,22.5,22.6,22.5,21.4
Bangladesh,90.6,89.9,88.8,87.3,85.1,82.3,81.5,80.7,79.8,78.8,77.6,76.2,74.5,72.6,70.5,68.2,67.7,67,66.4,65.6,65.5,65.2,64.9,64.5,64,63.4,59.9,58.6,57.6
Bulgaria,17.7,17.2,16.5,15.4,14.6,13.5,12.2,11.7,11.1,10.6,7.12,8.14,8.33,8.29,6.83,6.11,5.65,5.78,5.34,5.2,4.81,4.29,4.44,4.56,4.33,4.25,4.53,4.24,4.3
Bahrain,0.212,0.211,0.211,0.208,0.207,0.205,0.204,0.202,0.199,0.196,0.191,0.167,0.144,0.124,0.107,0.0921,0.0793,0.0681,0.0583,0.0504,0.0503,0.0502,0.051,0.0506,0.0506,0.0478,0.0449,0.0425,0.0398
Bahamas,1.44,1.42,1.39,1.61,1.05,1.22,1.94,1.23,0.927,1.14,1.39,1.65,0.581,0.432,0.342,0.474,0.239,0.729,0.525,0.476,0.459,0.455,0.439,0.414,0.396,0.376,0.365,0.355,0.34
Bosnia and Herzegovina,37.8,37.6,36.8,35.4,33.8,31.1,30.1,28.9,28.3,28.1,27,25.7,24.8,23.9,23,22,21.3,22.3,25.8,22.8,21,22.7,19.2,17.5,17.7,17.8,17,16.1,20.5
Belarus,10.7,10.7,11.1,11.2,11.1,11.1,11.1,11.1,10.9,10.7,10.6,10.3,10.1,9.75,9.38,9.06,8.73,8.38,8.13,7.7,7.53,7.24,7.17,6.87,6.66,6.65,7.26,7.69,7.51
Belize,4.56,4.57,4.45,4.35,5.9,4.96,5.83,5.05,6.13,5.57,5.05,4.56,4.06,3.63,3.23,3.37,3.51,3.63,3.74,3.87,4.01,4.14,4.27,4.35,4.58,4.61,5.25,4.89,4.69
Bolivia,43.2,43,42.8,42.5,42.1,41.7,41.6,41,40,37.2,42.2,39.1,34.4,34.4,39,39.3,38.2,31.3,30.7,30.6,30.4,27.3,29.2,31.4,28.3,29.2,30.6,31.1,30.3
Brazil,9.62,10.1,9.99,9.4,9.49,8.26,8.35,8.22,8.69,9.7,10.9,11.3,11,11.1,11.1,10.2,9.22,8.46,7.59,7,6.45,5.88,5.64,5.18,5.02,4.73,4.26,4.14,4.02
Barbados,4.3,4.14,4.42,4.22,3.49,4.18,3.86,3.58,3.29,3.39,3.52,3.07,3.54,2.48,2.56,2.65,2.46,2.43,2.02,1.89,2.19,2.06,1.93,1.33,1.56,1.83,1.71,1.63,1.58
Brunei,1.64,1.54,1.45,1.37,1.29,1.22,1.16,1.1,1.05,0.996,0.936,0.881,0.834,0.788,0.746,0.702,0.662,0.629,0.59,0.558,0.528,0.499,0.471,0.446,0.456,0.454,0.441,0.542,0.722
Bhutan,78.4,78.3,78.1,78,77.8,77.4,77.1,76.8,76.4,75.8,75.2,74.7,74,73.3,72.6,72,70.8,69.3,67.6,65.9,68.2,66.9,66.2,66.8,66.3,65.8,65.1,64.4,64
Botswana,10.7,10.6,10.5,10.6,10.3,10.4,11.8,13,15.1,17.3,15.6,14,12.5,13.8,15.1,16.3,17.5,18.7,20.1,19.6,19.1,18.7,18.3,17.8,17.3,16.8,16.3,15.8,15.3
Central African Republic,80.9,80.9,80.9,80.8,80.6,80.5,80.3,80,80,79.9,79.5,79.2,79,78.6,78.4,77.9,77.5,77.1,76.4,75.9,75.2,74.6,76,75.9,75.3,74.5,73.9,73.3,72.6
Canada,2.39,2.29,2.37,2.3,2.12,2.09,2.04,2.06,1.94,1.65,1.34,1.36,1.32,1.29,1.35,1.39,1.31,1.21,1.19,1.11,1.1,1.11,1.08,1.06,1.01,0.987,0.961,0.936,1
Channel Islands,4.5,4.44,4.35,4.27,4.16,4.04,3.93,3.8,3.67,3.52,3.4,3.28,3.18,3.05,2.93,2.8,2.66,2.56,2.49,2.39,2.28,2.19,2.09,2,1.91,1.83,1.76,1.68,1.61
Switzerland,3.96,4.01,4.2,4.09,3.75,3.34,3.71,3.78,3.66,4.01,3.38,3.35,3.26,2.89,2.84,2.71,2.79,2.67,2.44,2.68,2.86,2.95,2.77,2.7,2.87,2.86,2.59,2.56,1.98
Chile,6.13,6.06,6.08,5.51,5.41,5.35,4.54,4.59,4.68,4.67,4.7,4.79,4.95,5.51,5.86,5.86,5.68,5.51,5.33,5.14,5.1,4.98,4.7,4.52,4.53,4.92,5.35,5.19,4.74
China,54.9,53.8,51.8,49.5,47.1,45.3,44.9,45,45.7,46,46.3,46.6,45.9,43.2,41.2,39.1,37.3,36.1,34.7,33.4,31.4,30.2,27.9,25.9,25,24.2,23.6,22.8,22
Cote d'Ivoire,52.9,52.7,52.5,52.3,52,51.6,51.1,50.7,50.2,49.7,49.2,48.6,48,47.3,46.6,46,45.2,44.4,43.5,42.7,42,40.9,40,38.2,36.4,34.6,32.7,31.9,31
Cameroon,72.4,72.3,72.2,72,71.9,71.6,71.3,70.9,70.5,70,69,68.9,68.6,68.1,67.5,66.8,66,64.5,62.8,61.1,59.3,57.3,55.3,53.3,51.9,50.7,49.6,48.6,47.7
"Congo, Dem. Rep.",79.7,79.8,79.9,79.9,79.9,80.6,80.3,80.3,80.1,81.2,81,81.1,80.7,80.3,79.9,79.4,78.9,78.3,77.8,77.4,76.8,76.1,75.4,74.6,73.8,73.3,72.8,72.2,71.5
"Congo, Rep.",46.2,46.1,45.9,45.8,45.6,45.4,45.3,44.8,44.6,44.3,43.6,42.9,42.3,41.8,41.2,40.6,40.1,39.5,38.5,38,37.3,36.6,35.9,35,34.2,33.6,33.1,32.5,32
Colombia,7.03,7.02,7.06,6.95,7.01,6.93,6.82,6.7,6.65,6.62,6.49,6.51,6.54,6.45,6.43,6.31,6.17,6.17,6.21,7,7.06,7.58,7.04,6.97,7.22,7.25,7.74,7.81,6.6
Comoros,68.7,68.5,68.4,68.5,68.2,68.2,67.9,67.6,67.3,66.1,65.5,64.7,64,63.1,60.6,58.1,56.2,53.5,50.6,47.7,44.8,42.1,39.1,36.4,35.4,34.4,33.2,32.4,31.6
Cape Verde,19.5,19.3,19,18.7,18.4,18.1,17.7,17.2,16.7,16.1,15.6,14.9,14.4,13.7,13.2,12.6,11.9,11.4,10.9,10.5,10,9.66,9.31,8.96,8.62,8.26,7.93,6.52,5.47
Costa Rica,3.85,3.91,4.02,3.99,4.05,4.04,4.15,4.11,4.01,3.87,3.72,4.09,4.06,3.99,4.76,4.34,5.03,4.13,3.4,3.37,3.36,2.96,2.92,3.92,4.2,4.2,4.53,4.37,4.05
Cuba,13.4,13.5,13.7,13.2,12.9,12.9,13,13.6,14,14,13,12.1,11.2,10.5,9.83,9.23,8.6,8.58,8.35,8.51,8.9,8.24,7.87,8.17,8.09,7.85,7.65,7.47,7.27
Cyprus,14.2,13.2,12.5,10.9,10.5,9.04,7.75,6.53,5.49,4.61,3.93,4.21,3.88,4,3.44,2.88,2.36,2.67,2.96,2.49,2.36,1.85,1.68,2.06,2.07,1.64,1.08,1.02,1.28
Czech Republic,6.78,6.59,6.25,5.69,5.45,4.84,4.32,4.15,3.9,3.8,3.38,3.46,3.21,3.19,2.82,2.79,2.53,2.31,2.22,1.92,1.87,1.93,2.07,1.64,1.64,1.72,1.79,1.77,1.74
Germany,3.39,3.28,3.2,3.11,3.03,2.6,2.55,2.34,2.35,2.11,2.07,1.96,1.83,1.7,1.73,1.6,1.61,1.32,1.25,1.2,1.18,1.1,1.01,1.01,0.955,0.892,0.882,0.847,0.832
Djibouti,44.8,44.5,44.2,43.9,43.6,43.2,42.7,42.2,41.6,40.9,40,39.1,38.2,37.3,36.3,35.3,34.3,33.2,32.2,31.2,30.1,29.1,28.2,27.1,26.1,25.1,24.1,23.1,22.1
Denmark,2.87,2.74,2.61,2.58,2.52,2.07,1.66,1.78,1.45,1.96,1.71,1.63,1.76,1.87,1.61,1.46,1.57,1.23,1.22,0.927,0.862,1.07,1.01,0.872,1,0.914,0.937,0.959,1.11
Dominican Republic,3.59,3.58,3.57,3.48,3.48,3.58,2.31,2.43,2.88,2.48,1.73,1.75,1.48,1.79,2.58,1.96,1.79,2.65,1.8,2.16,1.96,1.62,1.56,2.31,1.47,1.14,1.3,1.52,1.39
Algeria,14.9,14.7,14.5,14.5,14.3,14,14,13.4,13.3,13.6,13,12.3,11.6,10.1,8.86,7.49,6.27,5.33,4.2,3.52,2.96,3.17,3.31,3.46,3.57,3.7,3.84,3.58,3.38
Ecuador,23.4,23.6,22.9,23,23,23.1,23,23.5,23.7,24.5,25.2,24.2,23.1,26.1,25.3,25,22.7,21.6,21.9,20.9,20.9,21.1,20.7,20.1,22.6,23.8,24.8,26.1,27.1
Egypt,53.6,52.5,46.5,47,42.5,41.5,40.5,35.3,31.9,39.4,31.9,27.6,39.1,46.8,46.7,43.3,46.6,45.6,46.1,42.9,43.4,37.6,42.9,43.2,40.2,38.4,36.9,21.7,21.2
Eritrea,79,78.6,78.4,77.8,77.5,77.1,76.5,75.7,75.5,75.9,75.1,75.3,75.3,75.3,74.2,74,73.7,74.5,74.2,73.4,72.7,72.2,72.3,70.8,71.2,70.3,70.4,69.1,68.3
Western Sahara,51.9,51.6,51.3,51,50.8,50.6,50.4,49.9,49.4,48.9,48.2,47.5,46.8,46.1,45.4,44.6,43.8,42.9,41.7,40.7,39.7,38.6,37.5,36.3,35.1,33.9,32.7,31.5,30.3
Spain,8.55,8.28,8.06,7.43,7.12,6.12,5.84,5.32,5.05,4.77,4.5,3.98,3.9,3.66,3.52,3.27,2.95,2.57,2.45,2.44,2.39,2.41,2.24,2.24,2.11,2.14,2.27,2.17,2.04
Estonia,14,13.2,11.5,10.3,7.75,7.2,7,6.5,6.5,4.42,2.97,4.12,3.8,2.71,3.22,3.18,3.06,2.41,2.61,2.81,2.46,2.52,2.26,2.24,2.51,1.99,1.92,1.65,1.51
Ethiopia,67.2,67.3,67,67.1,67,66.5,66.5,67,67.1,68.2,69.3,70.8,72.2,72.6,73.4,72.6,71.7,70.5,69.4,68.2,66.9,65.2,63.6,62.8,61.9,61.1,60.3,59.7,58.7
