country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0.634,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,28.8,,,,,34,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,12.4,,,,,,17.7,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,9.49,,,,,3.83,,,,,1.73,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,,,,,,,,,,,,,,,,10.6,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,4.42,,,,,4.37,,,,,3.43,,,3.82
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,21.4,,,,,,,21.7,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,12.4,,,,,,,16.8,,,15.9
Austria,,,,,,,,,,,,,,,,80.6,,,,,74.6,,,,,79.4,,,,,,,78.4,,,,,79,,,,,,,,77.2,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,19.6,,,19.3,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,88.4,,,,,88.5,,,,,87.7,,87.5,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,13.6,,,,,,,,,,,,,,,,23.1,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,2.25,,,,2.65,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,64.8,,,,,,,,,,,,72.5,,,,,,,,,,66.8,,,69.3
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,,,,,,,,,,,,,5.68,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,29.6,,,,,29,,,,,31.5,,,31.6,,
Belize,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,21,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1.53,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,,,,,,17.5,,,,17,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.65,,,,,,,,,7.65,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.888,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,19.2,,,,,18,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,,,,,,,,,16.6,,,,,16.6,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8,,,,,78,,,,,,,,,,,80.2,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,13.4,,,,,,,,,
China,,,,,,,,,,,,,,,,10.3,,,,,7.52,,,,,10,,,17.6,,,,,,,20.7,,,,,,,24.6,,,,,23.6,,,22.3
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,21.9,,,,,,19.1,,,,,20.5,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,19.2,,,,,19,,,,,,,,7.07,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,21.5,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,21.7,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,,,,,,,,19.1,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,,,,,,,,,,15.4,,,,,,10.6,,
Cyprus,,,,,,,,,,,0,,,,,0,,,,,0,,,,,2.21,,,2.37,,,,,,,,,1.67,,,,,3.69,,,,,2.35,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6,,,,,,83.3,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Denmark,,,,,,11.1,,,,,3.73,,,,,3.73,,,,,19.4,,,,,17.8,,,,,,,,,,,,9.27,,,,,7.41,,,,,19.6,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,,,,4.74,,,,,8.19,,,,,
Algeria,,,,,,,,,,,,,,,,4,,,,,,,,,,15.1,,,,,,,,,,,8.74,,,,,,,,,,,4.93,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,,,,,5.54,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52,,,,,5.86,,,,,,,,,,2.56,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,0.172,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,26,,,,,17.3,,,,,,19.3,,,,,20.7,,,,,18.3,,,,,17.6,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.7,,,92.9,,,,,,,,,,,,,,,,,,,96.2,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.378,,,0.65,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,81.1,,,,,82.1,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,10.8,,,,,11.3,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,70.3,,,,,,,72.2,,,,,69.5,,,,,68.3,,,,,69.4,,,,,71.5,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,9.48,,,,,10.1,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,14,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,,,,,,,,,
Ghana,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.67,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,9.42,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,19.2,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61,,,,,4.57,,,,4.57,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,14.9,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,2.69,,,,,,,,,,4.37,,,,,,,,,,,,2.69,,,,,,,,,,3.38,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479,,,,,,,,0.61,,,,,,,,,,1.41,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.09,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,19.9,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,0.551,,,,0.358,,,,,,,,,,,,,,3.52,,,,,,
Hungary,,,,,,55.9,,,,,58.3,,,,,,,,,,55,,,,,,,72.9,,,,78.6,,,,,,73.6,,,,,80.3,,,,,79.5,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,0.506,,,,,,,,,,6.53,,,,,,,,,,,,,,,
India,,,,,,,,,,,4,,,,,2.88,,,,,,2.21,,,,3,,,,,,,,,,1.64,,,,,,,,,,2.23,,,,,
Ireland,,,,,,,,,,,,,,,,49.3,,,,,,,,,,,,,,44.8,,,,,,,,,,,,,6.99,,,,,,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,,,,,,1.14,,,1.18,,,,,,,,,,,
Iraq,,,,,,,,,,,1.11,,,,,0.76,,,,,0.414,,,,,5,,,,,10.9,,,,,14.7,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,9.26,,,,,8.93,,,,,,,5.99,,,,,,,,,,8.48,,8.48,,,,,,,,5.6,,,71.2
Israel,,,,,,4.79,,,,,5.05,,,,,5.29,,,,,,,,,,5.88,,,,,,,,,,,,6.66,,5.78,,,,,,,,,,,
Italy,,,,,,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,,,,,,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,9.36,,,,,,,,
Jordan,,,,,,,,,,,5.99,,,,,4.67,,,,,3.72,,,,,,,3.35,,,,,,,,,,4.61,,,,,5.26,,,,,3.89,,,3.44
Japan,,,,,,,,,,,,,,,,18.7,,,,,,,,,,,,17.3,,,,,15.7,,,,,14.6,,,,,15.4,,14.3,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,,,,,,,20.7,,,,,28.2,,,29.6,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,4.31,,,,,,,3.88,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,,,,,,3.08,,,,,,4.2,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,9.72,,,,,,,12.9,,,,,15.3,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,,,,,,,,2.28,,,,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,,,,,,,,,,
Lebanon,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,3.87,,,,,,5.51,,,,,11.4,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,36.2,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,,2.17,,,,,,3.05,,,,,,,,,,,,4.8,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3.95,,,,,6.42,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,45.7,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.1,,,,,,91.9,,,,,,,,,,65.9,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,,,,23.5,,,,,,,,,,,,,8.31,4.64,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,,,,,21.6,21.1,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,,,,,,,,,,5.17,,,,,,,,2.03,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,0,,,,,0,,0,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,,,,,,,,,,,,,,,82.9,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0.978,,,,,,1.19,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,5.08,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,9.14,,,,,8.95,,,9.13
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,,,,,,22.1,,,,,36.2,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,0.0771,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.929,,,,,1.79,,,,,2.51,2.21,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,,,,,,,,,,,,,40.4,,,43.2,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,2.75,,,,,,,,,,,,,,1.7
Mauritania,,,,,,,,,,,,,,,,3.97,,,,,,,,,,,,,,,,,,,,1.58,,,,,2.36,,,,,,,,,,
Mauritius,,,,,,,,,,,6.89,,,,,,,,,,,,,,,,,,,,7.64,,,,,,,,2.76,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,,,,,,,,3.01,,,3.52,,,,,,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,9.87,,,,,,29.9,,,,40.3,,,,,42.8,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,,,,3.85,,,,,,,4.86,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3.33,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,9.75,,,,,,,,,,,,,15.1,,,,,17,,,,,15.8,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,,,,,,,,,,4.76,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,81.7,,,,,77,,,,,,84.8,,,,,87.9,,,,,88.1,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6,,,,,,32.6,,,,,40.8,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.422,,,,,,0.311,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,6.37,,,,,,19.1,,,,22.8,,,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55,,,,,,,,,2.21,,,1.44,,,,,,,,,,,,
Pakistan,,,,,,,,,,,1,,,,,,,,,,,,,,,,1.61,,,,,,,,,2.01,,,,,,,,0.763,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,,,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45,,,10.1,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.7,,,,,42.7,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6,,,,,73.6,,,,,,,,,,,,,,,,,,
