country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,38.4,,,,,45.3,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,29.9,,,,,,42.8,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,23.7,,,,,17.7,,,,,15.4,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,15.5,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,,,,,,,29.8,,,,,29.5,,,,,8.26,,,6.05
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,63.1,,,,,,,62.6,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,,22.3,,,,,,,23.4,,,23.1
Austria,,,,,,,,,,,,,,,,16.7,,,,,19.8,,,,,18,,,,,,,18.9,,,,,18.2,,,,,,,,20.6,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,,,,5,,,4.27,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,17,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,11.4,,,,,10.9,,,,,11.8,,11.8,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,28.2,,,,,,,,,,,,,,,,31.5,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,20.7,,,,,,,19.4,,,,,,,,,39,,,,45.9,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,,,,,,,,,,,,16.2,,,,,,,,,,16.6,,,16
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,,,,,,,,,,,,,49.8,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,46.3,,,,,47.1,,,,,38.1,,,36.1,,
Belize,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,6.51,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,27.9,,,,23,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,,,,,,,,,24.7,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,,,36.3,,,,,40.7,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,77.3,,,,,,,,,,,,,82.8,,,,,82.9,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,12.3,,,,,,,,,,,14.2,,,,,,,,
Switzerland,,,,,,,,,,,43.5,,,,,42.6,,,,,43.2,,,,,,,44.2,,,,,41.3,,,,,42.5,,,,,,,,,,60,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,,3.58,,,,,,,,,
China,,,,,,,,,,,,,,,,1.53,,,,,6.17,,,,,7,,,4.79,,,,,,,10.5,,,,,,,12.4,,,,,12.1,,,13.3
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,13.2,,,,,,38.3,,,,,41,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,46,,,,,,,,16.7,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,68,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,69.6,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,,,,,,,,26.6,,,,,,,
