country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,6990,,,,,6300,,,,,5580,,,,,5000,,,,,5160,,,,,5760,,,,,4750,,,,,3620,,,,,3040,,,,,2530,,,,,2200,,2010
Angola,27.1k,,,,,24.9k,,,,,22.5k,,,,,19.8k,,,,,16.8k,,,,,14.4k,,,,,12.5k,,,,,10.8k,,,,,9210,,,,,7740,,,,,6540,,5930
Albania,17.4k,,,,,15.1k,,,,,13.4k,,,,,12k,,,,,10.8k,,,,,9680,,,,,9320,,,,,9770,,,,,9670,,,,,10k,,,,,10.5k,,10.4k
Andorra,20.5k,,,,,15.2k,,,,,11.7k,,,,,9630,,,,,8070,,,,,6510,,,,,5360,,,,,4920,,,,,4440,,,,,3720,,,,,3980,,4480
United Arab Emirates,1340,,,,,873,,,,,463,,,,,208,,,,,130,,,,,98.8,,,,,74.3,,,,,57.8,,,,,44.2,,,,,25,,,,,16.8,,16.4
Argentina,41.2k,,,,,38.2k,,,,,35.4k,,,,,32.6k,,,,,30.2k,,,,,28k,,,,,26k,,,,,24.5k,,,,,23.1k,,,,,21.9k,,,,,20.8k,,20.2k
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250,,,,,2480,,,,,2550,,,,,2600,,,,,2610,,2570
Antigua and Barbuda,924,,,,,839,,,,,774,,,,,741,,,,,754,,,,,819,,,,,820,,,,,720,,,,,650,,,,,616,,,,,584,,566
Australia,46k,,,,,41.1k,,,,,36.8k,,,,,34.6k,,,,,32.6k,,,,,30.2k,,,,,28.1k,,,,,26.6k,,,,,25.2k,,,,,23.5k,,,,,21.5k,,20.5k
Austria,10.9k,,,,,10.5k,,,,,10.3k,,,,,10.2k,,,,,10.2k,,,,,10.2k,,,,,9950,,,,,9690,,,,,9580,,,,,9360,,,,,9190,,9090
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4650,,,,,4380,,,,,4190,,,,,3960,,,,,3710,,3560
Burundi,4330,,,,,3880,,,,,3540,,,,,3280,,,,,2880,,,,,2450,,,,,2130,,,,,1950,,,,,1750,,,,,1470,,,,,1240,,1120
Belgium,1990,,,,,1930,,,,,1900,,,,,1880,,,,,1860,,,,,1850,,,,,1830,,,,,1800,,,,,1770,,,,,1710,,,,,1650,,1620
Benin,10.5k,,,,,9660,,,,,8680,,,,,7690,,,,,6710,,,,,5810,,,,,4910,,,,,4150,,,,,3560,,,,,3030,,,,,2630,,2430
Burkina Faso,2720,,,,,2530,,,,,2320,,,,,2110,,,,,1890,,,,,1660,,,,,1450,,,,,1270,,,,,1100,,,,,946,,,,,814,,746
Bangladesh,24k,,,,,20.6k,,,,,18.2k,,,,,16.4k,,,,,14.3k,,,,,12.5k,,,,,11.1k,,,,,9930,,,,,9010,,,,,8370,,,,,7900,,7620
Bulgaria,2660,,,,,2560,,,,,2480,,,,,2420,,,,,2390,,,,,2380,,,,,2460,,,,,2600,,,,,2710,,,,,2810,,,,,2920,,2980
Bahrain,670,,,,,591,,,,,505,,,,,383,,,,,301,,,,,258,,,,,222,,,,,194,,,,,160,,,,,113,,,,,87,,84.2
Bahamas,5780,,,,,4590,,,,,3940,,,,,3550,,,,,3180,,,,,2880,,,,,2630,,,,,2440,,,,,2260,,,,,2050,,,,,1880,,1800
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8720,,,,,9920,,,,,9850,,,,,9770,,,,,9800,,9840
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5660,,,,,5740,,,,,5890,,,,,6060,,,,,6100,,6100
Belize,223k,,,,,193k,,,,,171k,,,,,159k,,,,,143k,,,,,125k,,,,,112k,,,,,98.1k,,,,,82.9k,,,,,72.8k,,,,,64.5k,,60.5k
Bolivia,150k,,,,,135k,,,,,122k,,,,,110k,,,,,98.4k,,,,,88.8k,,,,,80.5k,,,,,72.9k,,,,,66.3k,,,,,60.8k,,,,,56.1k,,53.5k
Brazil,112k,,,,,97.3k,,,,,85.7k,,,,,76k,,,,,67.5k,,,,,60.7k,,,,,55.7k,,,,,51.5k,,,,,47.8k,,,,,44.9k,,,,,42.7k,,41.6k
Barbados,344,,,,,338,,,,,331,,,,,322,,,,,315,,,,,311,,,,,305,,,,,300,,,,,295,,,,,290,,,,,284,,282
Brunei,94.9k,,,,,75.4k,,,,,59.9k,,,,,48.9k,,,,,41.4k,,,,,36k,,,,,31.3k,,,,,27.4k,,,,,24.8k,,,,,22.7k,,,,,21k,,20.1k
Bhutan,405k,,,,,357k,,,,,304k,,,,,253k,,,,,219k,,,,,190k,,,,,180k,,,,,156k,,,,,135k,,,,,114k,,,,,105k,,101k
Botswana,22.3k,,,,,19.4k,,,,,16.5k,,,,,13.8k,,,,,11.4k,,,,,9710,,,,,8380,,,,,7440,,,,,6850,,,,,6340,,,,,5740,,5410
Central African Republic,90.6k,,,,,82k,,,,,74.2k,,,,,66.9k,,,,,58.5k,,,,,51.3k,,,,,45.6k,,,,,40.3k,,,,,36.5k,,,,,33.6k,,,,,30.5k,,28.8k
Canada,156k,,,,,142k,,,,,131k,,,,,122k,,,,,116k,,,,,109k,,,,,102k,,,,,97.2k,,,,,92.7k,,,,,88k,,,,,83.2k,,80.7k
