country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,10.7,,,,,,,,,,,,26.1,,,,,,,,,,,,,20.3,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,0.64,,,,,0.706,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,1.84,,,,,,1.31,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,2.11,,,,,2.9,,,,,4,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,27.6,,,,,,,,,,,,,,,,,,,28.6,,,,,,,,,,,,,,,,37.8,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,,,,,,,1.73,,,,,2.86,,,,,2.94,,,3.27,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,0.0084,,,,,,,0.0115,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,,,,,21.7,,,,18.8,,,,,,,16,,,17.4,
Austria,,,,,,,,,,,,,,,,,,,3.34,,,,,3.58,,,,,3.81,,,,,,,3.64,,,,,3.67,,,,,,,,3.49,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,10.1,,,12.2,,,,,,,12,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,0.288,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,9.03,,,,,,,,,,,,,,,,,7.69,,,,,6.74,,,,,6.22,,6,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,0.376,,,,,,,,,0.716,,,,0.818,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,14.2,,,,,14.1,,,,,7.49,,,,,,,,,,,,6.59,,,,,6.2,,,,,5.71,,,5.63,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239,,,,,,,,,,,,,0.357,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334,,,,,,,0.329,0.328,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,1.84,,,,,1.71,,,,,1.55,,,1.51,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.101,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,2.09,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,54.9,,,,,,,,,,58.1,,,,74.8,,,,,,
Barbados,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,,,,,,,,,0.081,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076,,,0.092,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,0.113,,,0.143,,,,,0.194,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,0.0194,,,,,,,,,,,,,0.0662,,,,,0.0725,,,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,45.1,,,,,42.2,,,,,,,,,,,41.3,,38.8,,,,,,,
Switzerland,,,,,,,,,,,,,,2.6,,,,,2.59,,,,,2.65,,,,,,,2.69,,,,,2.56,,,,,2.52,,,,,,,,,,2,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,,,,,,,,,,,35.4,,,,,,,,,,
China,,,,,,,,,,,,,,,,,,,444,,,,,481,,,,,500,,,525,,,,,,,550,,,,,,,571,,,,,603,,,598,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,0.709,,,1.1,,,,1.23,,,,,,1.41,,,,,1.55,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,,,,,0.4,,,,,,,,0.966,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.584,,,,,0.684,,,,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,0.046,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,,,,,,,,11.8,,,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,,,,,,,,,,,,4.94,,,,,,6.96,,,
Cyprus,,,,,,,,,,,,,,0.155,,,,,0.177,,,,,0.2,,,,,0.226,,,0.211,,,,,,,,,0.21,,,,,0.217,,,,,0.256,0.255,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,,,,,1.91,,,,,1.97,,,,,1.84,1.65,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,,,,45.2,,,,,,39.1,,,,,,32.3,,,33,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0166,,,,0.0166,,,,0.0166,,,,,,0.02,,,,,,
Denmark,,,,,,,,,0.72,,,,,1.21,,,,,1.21,,,,,1.71,,,,,1.26,,,,,,,0.932,,,,,0.668,,,,,0.571,,,,,0.652,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87,,,,,5.47,,,,,7.16,,,,,,
Algeria,,,,,,,,,2,,,,,2.5,,,,,3,,,,,3.5,,,,,4.5,,,,,,,,,,,5.72,,,,,,,,,,,8.43,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.37,,,,,9.92,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,48.2,,,,,,,,,,,,,,,,,,,,58.9,,,,,68.3,,,,,,,,,,78,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.413,,,,0.582,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,36.1,,,,,39.9,,,,,,45.9,,,,,36.9,,,,,,34.6,,,,,35.9,,,,,35.6,,,,,37.4,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,1.36,,,,,,,1.41,,,,,1.83,,,,,1.63,,1.72,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,,,7.86,,,,,,,,,,,10.6
Finland,,,,,,,,,3.3,,,,,3.55,,,,,3.7,,,,,4,,,,,2.35,,,,,2.59,,,,2.33,,,,,,,6.56,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,0.0817,,,,,0.0849,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,31,,,,,34.9,,,,,,,39.2,,,,,30.3,,,,,32.4,,,,,31.4,,,,,30.2,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,0.12,,,,,0.139,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,13.5,,,,,11.5,,,,,12.1,,,,,12.1,,,,,,,15.8,,,,,8.51,,,,,8.21,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,,,1.82,,,,,,,,
Ghana,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.982,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,0.553,,,,,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,0.0905,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0166,,,,,0.175,,,,0.175,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.0174,,,,,,,,,,,,,,,,
Greece,,,,,,,,,4.25,,,,,4.28,,,,,5.04,,,,,5.5,,,,,,,8.04,,,,,8.7,,,,,9.26,,,,,9.63,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.0141,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46,,,,,,,,1.64,,,,,,,,,,1.45,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.669,0.634,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,1.28,,,,,,,,,,,,,,1.45,,,,,,,
Hungary,,,,,,,,,2.98,,,,,3.96,,,,,4.8,,,,,6.35,,,,,,,7.14,,,,6.01,,,,,,5.72,,,,,5.58,,,,,5.05,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,,,,,,,,,,113,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,380,,,,,438,,,,,,497,,,,500,,,,,,,,,,610,,,,,,,,,,761,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,1.07,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,0.73,,0.757,,,,,,,
Iran,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,83,,,,,,89.7,,,93.3,,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,40.6,,,,,40.8,,,,,41,,,,,42.8,,,,,54.4,,,,,66,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,0.108,,,,,0.112,,,,,,,0.167,,,,,,,,,,0.165,,0.165,,,,,,,,3.57,,,0.278,
Israel,,,,,,,,,1.56,,,,,1.63,,,,,1.7,,,,,,1.9,,,,1.8,,,,,1.81,,,,,,,1.83,,1.95,,,,,,,,,,,,
Italy,,,,,,,,,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,,,,,,,,53.8,,,,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.928,,,,,,,,,,,,,,0.812,,,,,,,,,
Jordan,,,,,,,,,,,,,,0.451,,,,,0.535,,,,,0.619,,,,,,,0.984,,,,,,,,,,0.803,,,,,0.932,,,,,0.849,,,1.1,
Japan,,,,,,,,,,,,,,,,,,,88.2,,,,,,,,,,,,91.4,,,,,89.2,,,,,84.7,,,,,83,,81.5,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7,,,,,,,19.7,,,,,20.7,,,21.1,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,2.32,,,,,,,3.22,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,10.1,,,,,,8.01,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0156,,,,
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,,,,,,,25.4,,,,,29.2,,,29.2,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538,,,,,,,,0.913,,,,,,,,,,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,,,,,,,,,,,
Lebanon,,,,,,,,,,,,,,0.751,,,,,,,,,,,,,,,,,,,1.29,,,,,,1.43,,,,,1.31,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,0.131,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,1.2,,,,,1.47,,,,,3.12,,,,,4.76,,,,4.6,,,,,,4.33,,,,,4.87,,,,,,,5.83,,,,
